question_id,original_question,improved_question,quality_score,remembering_score,understanding_score,applying_score,analyzing_score,evaluating_score,creating_score,language_score,average_confidence,pass_rate,agent_agreement
12,"John takes a train that travels 80 miles per hour. His friend Mike leaves from the same location but takes a different train that goes 60 miles per hour. Mike leaves 30 minutes after John but somehow arrives 15 minutes before him. How long was John’s trip, and how far did he travel?","John embarks on a journey by train traveling at 80 miles per hour. Exactly half an hour later, his friend Mike departs from the same location on another train moving at 60 miles per hour. Surprisingly, Mike reaches their destination 15 minutes before John. Determine the duration of John's journey and the distance he traveled."",
    ""solution"": ""Let \( t \) represent the time (in hours) that John traveled. Given that Mike arrives 15 minutes before John, his travel time is \( t - \\frac{1}{4} \) hours. Since Mike leaves 30 minutes (or \\( \\frac{1}{2} \\) hour) after John, his actual travel time is \( t - \\frac{1}{2} - \\frac{1}{4} = t - \\frac{3}{4} \\) hours. The distance each person travels is the same, denoted as \( d \\). Therefore, we can set up the following equations based on their speeds and travel times:\n\n\[ d = 80t \]\n\[ d = 60 \\left(t - \\frac{3}{4}\\right) \\]\n\nEquating the two expressions for \( d \\):\n\n\[ 80t = 60 \\left(t - \\frac{3}{4}\\right) \\]\n\[ 80t = 60t - 45 \\]\n\[ 20t = 45 \\]\n\[ t = \\frac{45}{20} = 2.25 \\, \\text{hours} \\]\n\nThus, John’s travel time is 2.25 hours. To find the distance traveled:\n\n\[ d = 80 \\times 2.25 = 180 \\, \\text{miles} \\]\n\nTherefore, the duration of John's journey is 2.25 hours and the distance he traveled is 180 miles.",0.524,95.0,50.0,65.0,70.0,85.0,70.0,100.0,90.71428571428571,1.0,0.7852499945219429
13,"Tom shoots 30% from the 3-point line. If he takes 10 shots, he expects to make 3. However, he practices a lot and improves by 50%. After practicing, if he takes 12 shots, how many should he expect to make?","Tom has a 30% success rate for making 3-point shots. He decides to practice intensively and manages to increase his success rate by 50%. If Tom now takes 12 shots, how many successful shots can he reasonably expect to make?"",
    ""solution"": ""First, determine Tom's initial success rate: 30%, or 0.30.\n\nNext, calculate the improvement: 50% of his initial success rate.\n\n\[\\text{Improvement} = 0.50 \\times 0.30 = 0.15\\]\n\nAdd this improvement to his initial success rate to get his new success rate:\n\n\[\\text{New success rate} = 0.30 + 0.15 = 0.45\\]\n\nFinally, calculate the expected number of successful shots out of 12 attempts with the new success rate:\n\n\[\\text{Expected successful shots} = 0.45 \\times 12 = 5.4\\]\n\nTherefore, Tom can reasonably expect to make approximately 5 or 6 successful shots.",0.524,95.0,85.0,50.0,70.0,70.0,65.0,95.0,90.71428571428571,1.0,0.7959121919548685
14,"A car accelerates from 0 to 60 mph in 5 seconds. Calculate its acceleration in m/s². If it maintains this acceleration, how fast will it be going in 10 seconds?
","Imagine you're designing a new electric car that accelerates from rest to 60 mph in exactly 5 seconds. First, calculate the car's acceleration in m/s². Then, determine how fast the car would be traveling in m/s if it continues accelerating at the same rate for another 5 seconds (total of 10 seconds)."",
    ""solution"": ""First, convert 60 mph to meters per second using the conversion factors: 1 mile = 1609.34 meters and 1 hour = 3600 seconds.\n\n\[ v_f = 60 \\times \\frac{1609.34}{3600} \\approx 26.82 \\, \\text{m/s} \\]\n\nNext, use the acceleration formula to find the car's acceleration:\n\n\[ a = \\frac{v_f - v_i}{t} = \\frac{26.82 - 0}{5} = 5.36 \\, \\text{m/s²} \\]\n\nFinally, calculate the speed after 10 seconds of constant acceleration:\n\n\[ v = v_i + at = 0 + 5.36 \\times 10 = 53.6 \\, \\text{m/s} \\]\n\nSo, the car's acceleration is \(5.36 \\, \\text{m/s²}\\) and its speed after 10 seconds is \(53.6 \\, \\text{m/s}\\).",0.697,95.0,70.0,65.0,85.0,85.0,85.0,85.0,91.42857142857143,1.0,0.8829678590866111
15,"John takes a train that travels 80 miles per hour. His friend Mike leaves from the same location but takes a different train that goes 60 miles per hour. Mike leaves 30 minutes after John but somehow arrives 15 minutes before him. How long was John’s trip, and how far did he travel?","John and Mike leave from the same station at different times and on different trains. John's train travels at 80 miles per hour, while Mike's train travels at 60 miles per hour. Mike departs 30 minutes after John and arrives 15 minutes before John at their destination. Determine the duration of John's trip and the total distance traveled."",
    ""solution"": ""Let \( t \) be the time in hours that John's train travels. Since Mike leaves 30 minutes (0.5 hours) after John and arrives 15 minutes (0.25 hours) before him, Mike's travel time is \( t - 0.75 \) hours.\n\nThe distance traveled by John is \( 80t \) miles, and the distance traveled by Mike is \( 60(t - 0.75) \) miles. Since they both travel the same distance, we can set up the following equation:\n\n\[ 80t = 60(t - 0.75) \\]\nSolving for \( t \):\n\n\[ 80t = 60t - 45 \\]\n\[ 20t = 45 \\]\n\[ t = 2.25 \\]\nSo, John's trip lasted 2.25 hours. The distance traveled by John is:\n\n\[ 80 \times 2.25 = 180 \text{ miles} \\]",0.984,90.0,85.0,85.0,85.0,85.0,85.0,95.0,92.14285714285714,1.0,0.958204758085305
16,Two cards are drawn from a standard deck. What’s the probability both are aces?,"A standard deck of 52 playing cards is shuffled thoroughly. If two cards are drawn one after another without replacement, what is the probability that both cards are aces? Can you also calculate the probability if the cards were drawn with replacement?",0.987,90.0,85.0,85.0,90.0,85.0,85.0,100.0,93.57142857142857,1.0,0.9418459471699356
17,"A ship travels 50 nautical miles at a bearing of 320°, then turns to a bearing of 80° for 30 nautical miles. How far is it from the starting point?","A ship sets sail on a voyage, traveling 50 nautical miles due northwest (bearing 320°) and then changes course to travel 30 nautical miles northeast (bearing 80°). Calculate the straight-line distance from the ship's final position back to its starting point."",
    ""solution"": ""To solve this problem, use the Law of Cosines after determining the angle between the two legs of the journey. First, find the angle between the two bearings: 80° - 320° + 360° = 120°. Then apply the Law of Cosines: \( c^2 = a^2 + b^2 - 2ab \cos(C) \), where \( a = 50 \) nautical miles, \( b = 30 \) nautical miles, and \( C = 120° \). This gives \( c^2 = 50^2 + 30^2 - 2(50)(30)\cos(120°) \). Simplifying, \( c = \sqrt{2500 + 900 + 3000(0.5)} = \sqrt{7000} \approx 83.7 \) nautical miles.",0.829,95.0,85.0,65.0,85.0,85.0,85.0,95.0,92.85714285714286,1.0,0.8910799882620528
18,"Sarah has 23 apples in her orchard. She picks 17 more apples, then gives 5 to her neighbor. The next day, she picks twice as many as the previous day, but 40% of those apples are rotten. If each non-rotten apple weighs between 0.2 and 0.3 pounds, approximately how many pounds of apples does Sarah have left?","Sarah starts with 23 apples in her orchard. She picks 17 more apples on Monday and gives 5 to her neighbor. On Tuesday, she picks twice as many apples as she did on Monday, but finds that 40% of these new apples are rotten. Assuming each non-rotten apple weighs between 0.2 and 0.3 pounds, approximately how many pounds of apples does Sarah have left?",0.984,95.0,85.0,85.0,85.0,85.0,85.0,85.0,92.14285714285714,1.0,0.9595125662349888
19,"John's investment account grew by 12% last year. This year, it decreased by 8% in the first quarter, increased by 5% in the second quarter, and then decreased again by an unknown percentage in the third quarter. If John initially invested $10,000 and now has approximately $10,760, what was the percentage change in the third quarter?","John started the year with an investment of $10,000 in his investment account. Last year, his investment grew by 12%. However, this year, his investment faced volatility. In the first quarter, it decreased by 8%, in the second quarter, it increased by 5%, and finally, in the third quarter, it decreased by an unknown percentage. By the end of the third quarter, John's investment value was approximately $10,760. What was the percentage decrease in the third quarter?",0.986,90.0,85.0,85.0,85.0,85.0,85.0,95.0,92.85714285714286,1.0,0.958204758085305
20,"The local high school is planning a field trip. They need to rent buses, which cost $550 each and can hold 52 students. If 3 teachers must accompany every 35 students and each person needs to pay an equal share of the transportation costs, how much should each person pay if 203 students are attending?","The local high school is organizing a field trip for 203 students. Each bus can accommodate 52 students and costs $550 to rent. Additionally, for safety reasons, there must be one teacher for every 35 students, and each teacher also needs to pay an equal share of the transportation costs. Assuming there are no additional expenses, how much should each person (student and teacher) contribute towards the transportation costs?",0.987,90.0,85.0,85.0,85.0,85.0,85.0,95.0,93.57142857142857,1.0,0.958204758085305
21,"If the average of four numbers is X, and one of the numbers is removed, the average of the remaining numbers is Y. Calculate the value of the removed number.","Four distinct positive integers have an average of 15. If one of these numbers is removed, the average of the remaining three numbers becomes 14. Determine the value of the removed number."",
    ""solution"": ""Let the four numbers be \(a\), \(b\), \(c\), and \(d\). The average of these numbers is 15, so their total sum is \(15 \times 4 = 60\). Therefore, we have \(a + b + c + d = 60\). When one number is removed, the average of the remaining three numbers becomes 14, meaning the sum of the remaining three numbers is \(14 \times 3 = 42\). Let's assume the removed number is \(d\). Then, we have \(a + b + c = 42\). Since \(a + b + c + d = 60\), substituting \(a + b + c = 42\) gives us \(42 + d = 60\). Solving for \(d\), we find \(d = 60 - 42 = 18\). Therefore, the value of the removed number is 18.",0.831,80.0,90.0,85.0,90.0,95.0,90.0,85.0,94.0,1.0,0.9485808510541727
22,"A train leaves City A traveling towards City B at a speed of 80 km/h. Another train leaves City B heading towards City A on the same track at a speed of 60 km/h. If the distance between City A and City B is 200 km, at what point do the trains meet, assuming that City A and City B are 100 km apart?","Two trains, Train X and Train Y, start simultaneously from cities A and B, respectively, which are 200 km apart. Train X travels from A to B at a constant speed of 80 km/h, while Train Y travels from B to A at a constant speed of 60 km/h. At what distance from city A will the two trains meet?"",
    ""solution"": ""To find the point where the two trains meet, we need to calculate the time taken for them to cover the combined distance until they meet. Let \( t \) be the time in hours when they meet. During this time, Train X covers a distance of \( 80t \) km and Train Y covers a distance of \( 60t \) km. Since the total distance between the cities is 200 km, we can set up the equation:\n\n\[ 80t + 60t = 200 \]\n\nSolving for \( t \):\n\n\[ 140t = 200 \]\n\[ t = \\frac{200}{140} = \\frac{10}{7} \\text{ hours} \]\n\nNow, we find the distance covered by Train X in \( \\frac{10}{7} \\) hours:\n\n\[ \\text{Distance} = 80 \\times \\frac{10}{7} = \\frac{800}{7} \\approx 114.29 \\text{ km} \]\n\nThus, the two trains will meet approximately 114.29 km from city A.",0.99,90.0,90.0,85.0,90.0,90.0,90.0,95.0,95.0,1.0,0.9703043064541751
23,A train travels at a speed of 60 km/h for 1 hour then at 90 km/h for the next hour. How far does it travel in total if it keeps traveling without stopping?,"A train starts its journey at 60 km/h for the first hour and then increases its speed to 90 km/h for the second hour. If the train maintains these speeds and continues without stopping, how far will it have traveled after 5 hours?",0.83,80.0,85.0,85.0,90.0,85.0,85.0,95.0,93.57142857142857,1.0,0.9490544297275291
24,"A farmer has 20 apples and decides to distribute them among his 4 baskets. If the baskets are filled equally, how many oranges does each basket contain?",A farmer has 20 apples and 8 oranges. He wants to distribute both fruits equally among 4 baskets. How many pieces of fruit will each basket contain?,0.831,60.0,85.0,85.0,90.0,90.0,90.0,95.0,94.28571428571429,1.0,0.874230003805918
25,"Alex has 3 times as many apples as Ben. If Alex gives some apples to Ben, who will have more apples?","Alex has three times as many apples as Ben initially. If Alex gives Ben 10 apples, who will have more apples, and by how many?",0.831,80.0,85.0,85.0,85.0,85.0,85.0,100.0,94.28571428571429,1.0,0.9328591867385458
26,"A train leaves city A traveling at 60 miles per hour. Another train leaves city B traveling at 70 miles per hour towards city A. Assuming the trains are on the same track, when will they meet?","Two trains depart from cities A and B respectively, which are 420 miles apart, heading towards each other on parallel tracks. Train A travels at 60 mph and Train B at 70 mph. At what time will they meet if Train A starts its journey 1 hour after Train B?",0.831,70.0,90.0,85.0,90.0,90.0,90.0,95.0,94.28571428571429,1.0,0.9140320616253974
27,"A rectangle has a perimeter of 36 cm. If the length is twice the width, find the area of the rectangle.","A rectangular garden has a perimeter of 36 meters. If the length of the garden is exactly twice its width, what is the area of the garden in square meters?"",
    ""solution"": ""Let the width of the garden be denoted as \( w \) meters. Since the length is twice the width, the length can be expressed as \( 2w \) meters. The formula for the perimeter of a rectangle is given by \( P = 2l + 2w \). Substituting the given values, we have \( 36 = 2(2w) + 2w \\Rightarrow 36 = 6w \\Rightarrow w = 6 \\) meters. Therefore, the length is \( 2w = 12 \\) meters. The area \( A \\) of the rectangle is calculated using the formula \( A = l \times w = 12 \times 6 = 72 \\) square meters.",0.989,90.0,85.0,85.0,90.0,90.0,85.0,95.0,94.28571428571429,1.0,0.960492100922852
28,"If a car travels at a constant speed of 60 miles per hour and reaches its destination after an hour, how much time would it take to reach the same destination if the car travels at twice the speed but takes 30 minutes longer due to traffic?","A car travels from City A to City B at a constant speed of 60 miles per hour and arrives exactly one hour later. On another day, due to heavy traffic, the car travels at a speed of 90 miles per hour but takes 1.5 hours to complete the journey. How far apart are City A and City B?",0.826,70.0,85.0,85.0,85.0,85.0,85.0,95.0,91.42857142857143,1.0,0.9196031103347022
29,"If a train leaves Station A traveling at a speed of 60 miles per hour, how far does it travel before it meets another train that leaves Station B at the same time traveling at 40 miles per hour?","Two trains depart simultaneously from Stations A and B, which are 280 miles apart, heading directly towards each other. Train A leaves Station A traveling at 60 miles per hour, while Train B leaves Station B traveling at 40 miles per hour. At what point along their route do the two trains meet?",0.833,80.0,90.0,90.0,90.0,90.0,90.0,95.0,95.0,1.0,0.9533523848412376
30,"A car travels from City A to City B, which are 100 miles apart, at an average speed of 50 miles per hour. At some point during the journey, the car stops and takes a break. How long was the total journey?","A car embarks on a journey from City A to City B, covering a distance of 100 miles. During the trip, the driver decides to take a 30-minute rest stop. If the car maintains an average speed of 50 miles per hour excluding the rest period, calculate the total time taken for the entire journey including the rest.",0.989,90.0,85.0,85.0,90.0,90.0,85.0,95.0,94.28571428571429,1.0,0.960492100922852
31,"John is twice as old as Mary. In five years, Mary's age will be three times what John's age was five years ago. How old are John and Mary now?","John is currently twice as old as Mary. In five years, Mary's age will be exactly three years more than twice what John's age was five years ago. How old are John and Mary now?"",
    ""solution"": ""Let's denote John's current age as J and Mary's current age as M. According to the problem, we have two equations:\n\n1. \( J = 2M \) (John is twice as old as Mary)\n2. \( M + 5 = 2(J - 5) + 3 \) (In five years, Mary's age will be exactly three years more than twice what John's age was five years ago)\n\nFirst, substitute \( J = 2M \) into the second equation:\n\n\( M + 5 = 2(2M - 5) + 3 \)\n\nSimplify the right side of the equation:\n\n\( M + 5 = 4M - 10 + 3 \)\n\nCombine like terms:\n\n\( M + 5 = 4M - 7 \)\n\nRearrange to isolate M:\n\n\( 5 + 7 = 4M - M \)\n\nSolve for M:\n\n\( 12 = 3M \)\n\nSo, \( M = 4 \). Substitute M back into the first equation to find J:\n\n\( J = 2M = 2 \times 4 = 8 \)\n\nThus, John is currently 8 years old and Mary is currently 4 years old.",0.827,80.0,85.0,85.0,85.0,90.0,85.0,85.0,92.14285714285714,1.0,0.9685575009514795
32,"A rectangle has a perimeter of 24 cm. If its length is twice as much longer than its width, what is the area of the rectangle?","A rectangle has a perimeter of 24 cm. If the length of the rectangle is three times its width, what is the area of the rectangle?"",
    ""solution"": ""First, let's denote the width of the rectangle as \( w \) and the length as \( l \\). According to the problem, the length is three times the width, so we have \( l = 3w \\). The formula for the perimeter of a rectangle is \( P = 2l + 2w \\). Given that the perimeter is 24 cm, we substitute the values into the equation: \( 24 = 2(3w) + 2w \\). Simplifying, we get \( 24 = 6w + 2w \\), which further simplifies to \( 24 = 8w \\). Solving for \( w \\), we find \( w = 3 \\) cm. Since \( l = 3w \\), then \( l = 3 \times 3 = 9 \\) cm. The area of the rectangle is calculated as \( A = l \times w = 9 \times 3 = 27 \\) square centimeters.",0.83,80.0,85.0,85.0,90.0,90.0,85.0,95.0,93.57142857142857,1.0,0.9481593826201905
33,"Two cars are traveling from Town A to Town B. Car X leaves Town A at 9 AM going 50 km/h and Car Y leaves Town A at the same time going 70 km/h. If the one-way distance between the towns is 120 km, what time will the faster car arrive after the slower car?","Two cars, Car X and Car Y, start simultaneously from Town A towards Town B, which is 120 km away. Car X travels at 50 km/h, while Car Y travels at 70 km/h. How much earlier will Car Y arrive at Town B compared to Car X?",0.99,90.0,90.0,85.0,90.0,90.0,90.0,95.0,95.0,1.0,0.9703043064541751
34,A rectangular garden has a length that is twice its width. Calculate the perimeter if the garden is parallel to the river.,"A rectangular garden has a length that is exactly twice its width. If the perimeter of the garden is 60 meters, what is the area of the garden?"",
    ""solution"": ""Let the width of the garden be denoted as \( w \) meters. Then, the length of the garden would be \( 2w \) meters. The formula for the perimeter of a rectangle is given by \( P = 2l + 2w \\). Substituting the known values, we get \( 60 = 2(2w) + 2w \\), which simplifies to \( 60 = 6w \\). Solving for \( w \\) yields \( w = 10 \\) meters. Therefore, the length \( l = 2w = 20 \\) meters. The area \( A \\) of the garden can then be calculated using the formula \( A = l \times w \\), resulting in \( A = 20 \times 10 = 200 \\) square meters.",0.833,80.0,85.0,85.0,90.0,90.0,90.0,95.0,95.0,1.0,0.9485808510541727
35,"A rectangle has a length twice its width. If the area of the rectangle is increased by 20 square units when the length is increased by 3 units, what is the original width?","A rectangle's length is twice its width. When the length is increased by 3 units, the area of the rectangle increases by 20 square units. Find the original width of the rectangle."",
    ""solution"": ""Let the original width of the rectangle be \( w \) units. Therefore, the original length is \( 2w \) units. The original area of the rectangle is \( 2w^2 \) square units. After increasing the length by 3 units, the new length is \( 2w + 3 \) units, and the new area is \( (2w + 3)w \) square units. According to the problem, the new area is 20 square units more than the original area, so we can set up the equation:\n\[ (2w + 3)w = 2w^2 + 20 \]\nSimplifying, we get:\n\[ 2w^2 + 3w = 2w^2 + 20 \]\nSubtracting \( 2w^2 \) from both sides gives:\n\[ 3w = 20 \]\nTherefore, solving for \( w \), we find:\n\[ w = \\frac{20}{3} \\]\nThe original width of the rectangle is \( \\frac{20}{3} \\) units.",0.986,90.0,85.0,85.0,85.0,85.0,85.0,85.0,92.85714285714286,1.0,0.9795875854768068
36,"A train travels from City A to City B in 1.5 hours at a constant speed. If the train leaves City A at 2:00 PM and arrives at City B at 3:00 PM, what is the speed of the train in kilometers per hour?","A high-speed train departs from City A at 2:00 PM and arrives at City B exactly one hour later, covering a distance of 180 kilometers. Due to unexpected maintenance, the train must reduce its speed by 20% on its return journey. What is the reduced speed of the train on its way back from City B to City A?",0.831,60.0,85.0,85.0,90.0,90.0,85.0,95.0,94.28571428571429,1.0,0.8754496740957706
37,"A train travels from City A to City B at a constant speed of X km/h. If the distance is Y km and the time taken is T hours, what is the value of X?","A high-speed train travels from City A to City B at a constant speed. If the distance between the two cities is 360 km and the journey takes exactly 3 hours, what is the speed of the train in km/h? Additionally, express the speed of the train as a function of the distance \( d \) (in km) and time \( t \) (in hours)."",
    ""solution"": ""First, calculate the speed using the given distance and time: Speed = Distance / Time = 360 km / 3 h = 120 km/h. To express the speed as a function of distance \( d \) and time \( t \), use the general formula Speed = \( \\frac{d}{t} \\). Therefore, the speed of the train can be expressed as \( \\frac{d}{t} \\) km/h.",0.989,90.0,85.0,85.0,90.0,90.0,90.0,100.0,94.28571428571429,1.0,0.948565550012636
38,"A farmer has a field in the shape of a parallelogram. He wants to plant crops such that each corner of the field contains a different type of crop. If the total area of the field is 100 square meters, calculate the length of one side of the field and the height corresponding to that side.","A farmer has a parallelogram-shaped field with an area of 100 square meters. To optimize crop diversity, he decides to plant a unique crop at each corner of the field. Given that the ratio of the lengths of two adjacent sides is 3:4 and the angle between them is 60 degrees, find the length of the shorter side and the corresponding height."",
    ""solution"": ""Given the area of the parallelogram is 100 square meters, let's denote the lengths of the two adjacent sides as 3x and 4x respectively, where x is a common multiplier. The area of a parallelogram can also be expressed using the formula: Area = base * height = a * b * sin(θ), where 'a' and 'b' are the lengths of the sides and θ is the included angle.\n\nSubstitute the known values into the formula:\n100 = (3x) * (4x) * sin(60°)\n100 = 12x^2 * (√3/2)\n100 = 6√3x^2\nSolving for x gives us:\nx^2 = \frac{100}{6\sqrt{3}} = \frac{50}{3\sqrt{3}}\nx = \sqrt{\frac{50}{3\sqrt{3}}} = \sqrt{\frac{50\sqrt{3}}{9}} = \frac{5\sqrt{2\sqrt{3}}}{3}\n\nThe length of the shorter side (3x) is then:\n3x = 3 * \frac{5\sqrt{2\sqrt{3}}}{3} = 5\sqrt{2\sqrt{3}}\n\nTo find the corresponding height, we use the area formula again, substituting the length of the shorter side and solving for the height:\n100 = (5\sqrt{2\sqrt{3}}) * h\nh = \frac{100}{5\sqrt{2\sqrt{3}}} = \frac{20}{\sqrt{2\sqrt{3}}}\n\nTherefore, the length of the shorter side is 5\sqrt{2\sqrt{3}} meters and the corresponding height is \frac{20}{\sqrt{2\sqrt{3}}} meters.",0.987,90.0,85.0,85.0,90.0,90.0,85.0,95.0,93.57142857142857,1.0,0.960492100922852
39,"A train travels from City A to City B. If the speed of the train is doubled, the time taken is reduced by half. What is the speed of the train?","A train travels from City A to City B at a constant speed of 60 km/h and takes 4 hours to complete the journey. If the speed of the train is doubled, how long will it take to travel the same distance? Also, if the train had to make a stop for 30 minutes during the trip, what would be the total travel time?",0.833,70.0,85.0,85.0,90.0,90.0,85.0,100.0,95.0,1.0,0.9036206298372678
40,"Calculate the area of a shape given that one side is 5 units longer than twice the length of the other side, and the perimeter of the shape is 40 units.","A rectangular garden has one side that is 5 units longer than twice the length of the other side. If the perimeter of the garden is 40 units, calculate the area of the garden.",0.831,80.0,90.0,90.0,90.0,90.0,90.0,95.0,94.28571428571429,1.0,0.9533523848412376
