question_id,original_question,improved_question,quality_score,remembering_score,understanding_score,applying_score,analyzing_score,evaluating_score,creating_score,language_score,average_confidence,pass_rate,agent_agreement
11,"Billy orders 3 large pizzas for his party. Each pizza is cut into 8 slices. Before the guests arrive, his dog eats 5 slices from one of the pizzas. Then Billy eats half of what’s left from the second pizza. His friend Jessica takes a quarter of the remaining slices from the third pizza. How many slices are left after everyone eats?","Billy is throwing a pizza party and orders 3 large pizzas, each cut into 8 slices. Unfortunately, before the party starts, his mischievous dog eats 5 slices from one of the pizzas. Then, Billy, feeling hungry, eats half of what's left on the second pizza. Finally, his friend Jessica takes a quarter of the remaining slices from the third pizza. How many slices are left for the guests to enjoy?",0.984,90.0,85.0,85.0,85.0,85.0,85.0,95.0,92.14285714285714,1.0,0.958204758085305
12,"John takes a train that travels 80 miles per hour. His friend Mike leaves from the same location but takes a different train that goes 60 miles per hour. Mike leaves 30 minutes after John but somehow arrives 15 minutes before him. How long was John’s trip, and how far did he travel?","Two trains leave from the same station. Train A travels at 80 miles per hour, while Train B travels at 60 miles per hour. Train B departs 30 minutes after Train A but arrives at the destination 15 minutes before Train A. How long does Train A's journey take, and what is the total distance of the trip?"",
    ""solution"": ""Let \( t \) be the time (in hours) that Train A travels. Then, Train B's travel time is \( t - \frac{1}{4} \) hours since it arrives 15 minutes (or \( \frac{1}{4} \) hour) before Train A. However, Train B leaves 30 minutes (or \( \frac{1}{2} \) hour) after Train A, so its actual travel time is \( t - \frac{1}{2} - \frac{1}{4} = t - \frac{3}{4} \) hours. Since both trains travel the same distance, we can set up the following equation based on their speeds and travel times:\n\n\[ 80t = 60 \left( t - \frac{3}{4} \right) \]\nSolving for \( t \):\n\n\[ 80t = 60t - 45 \]\n\[ 80t - 60t = -45 \]\n\[ 20t = 45 \]\n\[ t = \frac{45}{20} = 2.25 \, \text{hours} \]\n\nThe total distance of the trip can be found using Train A's speed and travel time:\n\n\[ d = 80 \times 2.25 = 180 \, \text{miles} \]\n\nTherefore, Train A's journey takes 2.25 hours, and the total distance of the trip is 180 miles.",0.699,95.0,65.0,50.0,85.0,85.0,85.0,95.0,92.14285714285714,1.0,0.8080876316053154
13,"Tom shoots 30% from the 3-point line. If he takes 10 shots, he expects to make 3. However, he practices a lot and improves by 50%. After practicing, if he takes 12 shots, how many should he expect to make?","Tom, a basketball player, has a 30% success rate from the 3-point line. After intense practice, he improves his success rate by 50%. If Tom now takes 12 shots from the 3-point line, how many successful shots can he expect to make? Round your answer to the nearest whole number."",
    ""solution"": ""First, determine Tom's new success rate after improving by 50%. His initial success rate is 30%, so his improvement can be calculated as follows:

\[ \text{Improvement} = 0.50 \times 0.30 = 0.15 \]

Adding this improvement to his original success rate gives:

\[ \text{New success rate} = 0.30 + 0.15 = 0.45 \]

Next, use this new success rate to find the expected number of successful shots out of 12 attempts:

\[ \text{Expected makes} = 0.45 \times 12 = 5.4 \]

Rounding 5.4 to the nearest whole number, Tom should expect to make approximately 5 successful shots.",0.596,90.0,50.0,65.0,85.0,85.0,70.0,95.0,90.71428571428571,1.0,0.8075499102701247
14,"A car accelerates from 0 to 60 mph in 5 seconds. Calculate its acceleration in m/s². If it maintains this acceleration, how fast will it be going in 10 seconds?
","A race car accelerates from rest to 60 mph in 5 seconds. What is its acceleration in meters per second squared (m/s²)? Assuming the car continues to accelerate at this rate, what will its speed be in meters per second (m/s) after 10 seconds? Round your final answer to two decimal places.",0.831,95.0,85.0,65.0,85.0,85.0,85.0,95.0,94.28571428571429,1.0,0.8910799882620528
15,"John takes a train that travels 80 miles per hour. His friend Mike leaves from the same location but takes a different train that goes 60 miles per hour. Mike leaves 30 minutes after John but somehow arrives 15 minutes before him. How long was John’s trip, and how far did he travel?","John and his friend Mike leave from the same city on separate trains. John's train travels at 80 miles per hour, while Mike's train travels at 60 miles per hour. Mike leaves 30 minutes after John but arrives 15 minutes before him. How long was John’s trip, and how far did he travel? Assume both trains maintain constant speeds without stops."",
    ""solution"": ""Let \( t \) be the time in hours that John's train travels. Then, Mike's train travels for \( t - 0.5 - 0.25 = t - 0.75 \) hours because he leaves 30 minutes (0.5 hours) later and arrives 15 minutes (0.25 hours) earlier. Since both trains cover the same distance, we can set up the following equation based on their speeds and times:\n\n\[ 80t = 60(t - 0.75) \]\n\nExpanding and simplifying the equation:\n\n\[ 80t = 60t - 45 \]\n\nSubtracting \( 60t \) from both sides:\n\n\[ 20t = 45 \]\n\nDividing both sides by 20:\n\n\[ t = \frac{45}{20} = 2.25 \text{ hours} \]\n\nThe distance traveled by John's train is then:\n\n\[ \text{Distance} = 80 \times 2.25 = 180 \text{ miles} \]\n\nThus, John’s trip lasted 2.25 hours, and he traveled 180 miles.",0.827,90.0,85.0,50.0,85.0,85.0,85.0,95.0,92.14285714285714,1.0,0.8345539339961701
16,Two cards are drawn from a standard deck. What’s the probability both are aces?,Two cards are drawn one after another from a standard deck without replacement. What is the probability that both cards drawn are aces?,0.989,90.0,85.0,85.0,85.0,90.0,85.0,95.0,94.28571428571429,1.0,0.9585445568000587
17,"A ship travels 50 nautical miles at a bearing of 320°, then turns to a bearing of 80° for 30 nautical miles. How far is it from the starting point?","A pirate ship embarks on a treasure hunt. First, it sails 50 nautical miles in a direction 320° from true north, then changes course to sail 30 nautical miles at 80° from true north. Using your skills in navigation and geometry, determine how far the ship is from its starting point. Illustrate your path on a diagram.",0.984,90.0,85.0,85.0,85.0,85.0,85.0,95.0,92.14285714285714,1.0,0.958204758085305
18,"Sarah has 23 apples in her orchard. She picks 17 more apples, then gives 5 to her neighbor. The next day, she picks twice as many as the previous day, but 40% of those apples are rotten. If each non-rotten apple weighs between 0.2 and 0.3 pounds, approximately how many pounds of apples does Sarah have left?","In a small orchard, Sarah starts with 23 apples. On a sunny morning, she picks 17 more apples and then gives 5 to her neighbor. The next day, she picks twice as many as she did on the first day, but unfortunately, 40% of these apples are found to be rotten. Each non-rotten apple weighs between 0.2 and 0.3 pounds. Approximately how many pounds of good apples does Sarah have left in her orchard?",0.826,95.0,85.0,70.0,85.0,85.0,85.0,95.0,91.42857142857143,1.0,0.9094768292399982
19,"John's investment account grew by 12% last year. This year, it decreased by 8% in the first quarter, increased by 5% in the second quarter, and then decreased again by an unknown percentage in the third quarter. If John initially invested $10,000 and now has approximately $10,760, what was the percentage change in the third quarter?","John started with $10,000 in his investment account. Last year, the account grew by 12%. This year, the account experienced a series of changes: it decreased by 8% in the first quarter, increased by 5% in the second quarter, and then decreased by an unknown percentage in the third quarter. If the account now contains approximately $10,760, what was the percentage decrease in the third quarter? Assume each percentage change applies to the current balance at the time.",0.986,90.0,85.0,85.0,85.0,85.0,85.0,95.0,92.85714285714286,1.0,0.958204758085305
20,"The local high school is planning a field trip. They need to rent buses, which cost $550 each and can hold 52 students. If 3 teachers must accompany every 35 students and each person needs to pay an equal share of the transportation costs, how much should each person pay if 203 students are attending?","A school is organizing a field trip for 203 students. Each bus costs $550 and can hold 52 students. For every 35 students, 3 teachers must accompany them. If the transportation costs are split equally among all attendees (students and teachers), how much should each person pay?",0.83,90.0,85.0,65.0,85.0,85.0,85.0,95.0,93.57142857142857,1.0,0.8976013053085206
21,"If the average of four numbers is X, and one of the numbers is removed, the average of the remaining numbers is Y. Calculate the value of the removed number.","The average of four positive integers is 15. When one of the numbers is removed, the average of the remaining three numbers becomes 12. What is the value of the removed number?"",
    ""solution"": ""First, let's denote the four numbers as \(a\), \(b\), \(c\), and \(d\). Given that the average of these four numbers is 15, we can write the equation for their total sum as \(\frac{a + b + c + d}{4} = 15\). This simplifies to \(a + b + c + d = 60\).

Next, when one of the numbers is removed, the average of the remaining three numbers is 12. Without loss of generality, let's assume the number \(d\) is removed. Then the equation for the sum of the remaining three numbers is \(\frac{a + b + c}{3} = 12\), which simplifies to \(a + b + c = 36\).

Since \(a + b + c + d = 60\) and \(a + b + c = 36\), we can find the value of \(d\) by subtracting the second equation from the first: \(60 - 36 = 24\). Therefore, the value of the removed number is 24."",
    ""additional_notes"": ""This problem is now clearer, more precise, and provides all necessary information. It avoids ambiguity and leads to a well-defined solution.",0.831,80.0,90.0,85.0,90.0,90.0,90.0,95.0,94.28571428571429,1.0,0.9502869838470244
22,"A train leaves City A traveling towards City B at a speed of 80 km/h. Another train leaves City B heading towards City A on the same track at a speed of 60 km/h. If the distance between City A and City B is 200 km, at what point do the trains meet, assuming that City A and City B are 100 km apart?","Two trains are traveling towards each other on the same track. Train X departs from City A at a speed of 80 km/h, and Train Y departs from City B at a speed of 60 km/h. The distance between City A and City B is 200 km. At what point, measured from City A, will the two trains meet?"",
    ""solution"": ""To find the point where the two trains meet, we need to calculate the time it takes for them to meet and then use that time to determine the distance traveled by Train X. Let's denote the time taken for the trains to meet as \( t \) hours. The combined speed of the two trains is \( 80 + 60 = 140 \) km/h. Since the total distance between City A and City B is 200 km, we can set up the equation: \( 140t = 200 \). Solving for \( t \), we get \( t = \frac{200}{140} = \frac{10}{7} \) hours. Now, to find the distance from City A to the meeting point, we multiply the time \( t \) by the speed of Train X: \( 80 \times \frac{10}{7} = \frac{800}{7} \approx 114.29 \) km. Therefore, the two trains will meet approximately 114.29 km from City A.",0.99,90.0,85.0,85.0,90.0,90.0,85.0,95.0,95.0,1.0,0.960492100922852
23,A train travels at a speed of 60 km/h for 1 hour then at 90 km/h for the next hour. How far does it travel in total if it keeps traveling without stopping?,A train travels at a speed of 60 km/h for the first hour and then increases its speed to 90 km/h for the next hour. What is the total distance traveled by the train in these two hours?,0.99,90.0,85.0,85.0,90.0,90.0,90.0,95.0,95.0,1.0,0.9642229123600033
24,"A farmer has 20 apples and decides to distribute them among his 4 baskets. If the baskets are filled equally, how many oranges does each basket contain?","A farmer has 20 apples and decides to distribute them equally among 4 baskets. If he wants to fill the baskets with a total of 28 fruits, how many oranges must he add to achieve this, and how many fruits will each basket contain?",0.831,80.0,85.0,85.0,90.0,90.0,85.0,95.0,94.28571428571429,1.0,0.9481593826201905
25,"Alex has 3 times as many apples as Ben. If Alex gives some apples to Ben, who will have more apples?","Alex has 3 times as many apples as Ben. If Alex gives 15 apples to Ben, who will have more apples?"",
    ""solution"": ""First, let's define the number of apples Ben has as \( B \). Since Alex has 3 times as many apples as Ben, Alex has \( 3B \) apples. After Alex gives 15 apples to Ben, Alex will have \( 3B - 15 \) apples and Ben will have \( B + 15 \) apples. We need to compare \( 3B - 15 \) and \( B + 15 \) to determine who has more apples. Simplifying the comparison, we get \( 3B - 15 > B + 15 \) or \( 3B - 15 < B + 15 \). Solving the inequality \( 3B - 15 > B + 15 \), we get \( 2B > 30 \) or \( B > 15 \). Therefore, if Ben originally had more than 15 apples, Alex will have fewer apples after giving 15 to Ben. If Ben originally had 15 or fewer apples, Alex will have more apples after giving 15 to Ben.",0.986,90.0,85.0,85.0,85.0,85.0,85.0,95.0,92.85714285714286,1.0,0.958204758085305
26,"A train leaves city A traveling at 60 miles per hour. Another train leaves city B traveling at 70 miles per hour towards city A. Assuming the trains are on the same track, when will they meet?","Two cities, A and B, are 350 miles apart. A train departs from city A heading towards city B at 60 miles per hour, while another train departs from city B towards city A at 70 miles per hour. How long will it take for the two trains to meet? Assume both trains travel on the same straight track.",0.833,80.0,90.0,90.0,90.0,90.0,90.0,100.0,95.0,1.0,0.9406086129083502
27,"A rectangle has a perimeter of 36 cm. If the length is twice the width, find the area of the rectangle.","A rectangle has a perimeter of 36 cm. If the length of the rectangle is twice its width, find the area of the rectangle. Assume the width is measured along the shorter side."",
    ""solution"": ""First, let the width of the rectangle be denoted as \( w \) cm. Since the length is twice the width, the length can be expressed as \( 2w \) cm. Using the formula for the perimeter of a rectangle, which is \( P = 2(l + w) \), we substitute the given perimeter and the expressions for length and width. This gives us \( 36 = 2(2w + w) \). Simplifying the equation, we get \( 36 = 2(3w) \), or \( 36 = 6w \). Solving for \( w \), we find \( w = 6 \) cm. The length is then \( 2w = 12 \) cm. The area \( A \) of the rectangle is given by \( A = l \times w = 12 \times 6 = 72 \) square cm. Thus, the area of the rectangle is 72 square cm.",0.989,90.0,85.0,85.0,90.0,85.0,85.0,95.0,94.28571428571429,1.0,0.9585445568000587
28,"If a car travels at a constant speed of 60 miles per hour and reaches its destination after an hour, how much time would it take to reach the same destination if the car travels at twice the speed but takes 30 minutes longer due to traffic?","A car travels at a constant speed of 60 miles per hour and reaches its destination exactly one hour later. If the car increases its speed to 120 miles per hour but encounters traffic, causing the travel time to increase by 30 minutes, how long will the trip take? Assume the traffic only affects the travel time and not the speed.",0.829,80.0,85.0,85.0,85.0,85.0,85.0,100.0,92.85714285714286,1.0,0.9328591867385458
29,"If a train leaves Station A traveling at a speed of 60 miles per hour, how far does it travel before it meets another train that leaves Station B at the same time traveling at 40 miles per hour?","Two trains leave opposite ends of a straight track, Train A from Station A and Train B from Station B, both traveling towards each other at constant speeds. Train A travels at 60 miles per hour and Train B at 40 miles per hour. If the distance between Station A and Station B is 500 miles, how long will it take for the two trains to meet?",0.991,90.0,90.0,90.0,90.0,90.0,90.0,100.0,95.71428571428571,1.0,0.9617267227690128
30,"A car travels from City A to City B, which are 100 miles apart, at an average speed of 50 miles per hour. At some point during the journey, the car stops and takes a break. How long was the total journey?","A car travels from City A to City B, which are 100 miles apart, at an average speed of 50 miles per hour. However, the driver decides to take a 15-minute break halfway through the trip. What is the total time taken for the journey, including the break?",0.991,90.0,90.0,85.0,90.0,85.0,85.0,100.0,95.71428571428571,1.0,0.9445743741577959
31,"John is twice as old as Mary. In five years, Mary's age will be three times what John's age was five years ago. How old are John and Mary now?","John is twice as old as Mary. In five years, Mary will be three times younger than John's age was five years ago. How old are John and Mary now?"",
    ""solution"": ""To solve this problem, we need to set up equations based on the given conditions. Let's define the current ages of John and Mary as \( J \) and \( M \) respectively. According to the first condition, John is twice as old as Mary, so we have the equation \( J = 2M \). For the second condition, in five years, Mary's age will be \( M + 5 \), and John's age five years ago was \( J - 5 \). The second condition states that Mary's age in five years will be one-third of John's age five years ago, which gives us the equation \( M + 5 = \frac{1}{3}(J - 5) \). We can substitute \( J = 2M \) into the second equation and solve for \( M \) and \( J \). Once we find the values of \( M \) and \( J \), we will have the current ages of John and Mary.",0.521,80.0,70.0,70.0,85.0,85.0,70.0,85.0,89.28571428571429,1.0,0.9101104681547457
32,"A rectangle has a perimeter of 24 cm. If its length is twice as much longer than its width, what is the area of the rectangle?","A rectangle has a perimeter of 24 cm. If its length is three times its width, what is the area of the rectangle?",0.831,80.0,85.0,85.0,90.0,90.0,85.0,95.0,94.28571428571429,1.0,0.9481593826201905
33,"Two cars are traveling from Town A to Town B. Car X leaves Town A at 9 AM going 50 km/h and Car Y leaves Town A at the same time going 70 km/h. If the one-way distance between the towns is 120 km, what time will the faster car arrive after the slower car?","Two cars are traveling from Town A to Town B. Car X leaves Town A at 9 AM going 50 km/h and Car Y leaves Town A at the same time going 70 km/h. If the one-way distance between the towns is 120 km, how much earlier will Car X arrive compared to Car Y?"",
    ""solution"": ""To solve this, we first calculate the time it takes for each car to travel from Town A to Town B. For Car X, the time taken is the distance divided by speed, which is 120 km / 50 km/h = 2.4 hours. For Car Y, the time taken is 120 km / 70 km/h ≈ 1.714 hours. The difference in their arrival times is the time taken by Car X minus the time taken by Car Y, which is 2.4 - 1.714 = 0.686 hours. Converting this to minutes, we get 0.686 * 60 ≈ 41.16 minutes. Therefore, Car X will arrive approximately 41.16 minutes earlier than Car Y.",0.481,70.0,50.0,50.0,50.0,85.0,50.0,95.0,90.71428571428571,1.0,0.7228896908146683
34,A rectangular garden has a length that is twice its width. Calculate the perimeter if the garden is parallel to the river.,"A rectangular garden has a length that is twice its width. If the width of the garden is 10 meters, calculate the perimeter of the garden.",0.831,80.0,85.0,85.0,90.0,90.0,85.0,95.0,94.28571428571429,1.0,0.9481593826201905
35,"A rectangle has a length twice its width. If the area of the rectangle is increased by 20 square units when the length is increased by 3 units, what is the original width?","A rectangle has a length that is twice its width. If the area of the rectangle increases by 20 square units when the length is increased by 3 units, and the width remains unchanged, what is the original width of the rectangle?"",
    ""solution"": ""Let the original width of the rectangle be \( w \) units. Then, the original length is \( 2w \) units. The original area of the rectangle is \( 2w \times w = 2w^2 \) square units. When the length is increased by 3 units, the new length becomes \( 2w + 3 \) units, and the new area is \( (2w + 3) \times w = 2w^2 + 3w \) square units. According to the problem, the increase in area is 20 square units. Therefore, we can set up the equation: \[ 2w^2 + 3w - 2w^2 = 20 \] Simplifying, we get: \[ 3w = 20 \] Solving for \( w \), we find: \[ w = \frac{20}{3} \] Thus, the original width of the rectangle is \( \frac{20}{3} \) units.",0.989,90.0,85.0,85.0,85.0,90.0,85.0,95.0,94.28571428571429,1.0,0.9585445568000587
36,"A train travels from City A to City B in 1.5 hours at a constant speed. If the train leaves City A at 2:00 PM and arrives at City B at 3:00 PM, what is the speed of the train in kilometers per hour?","A train departs from City A at 2:00 PM and arrives at City B exactly 1.5 hours later. If the distance between City A and City B is 90 kilometers, what is the speed of the train in kilometers per hour?",0.834,80.0,90.0,85.0,90.0,90.0,90.0,100.0,95.71428571428571,1.0,0.9370079370079055
37,"A train travels from City A to City B at a constant speed of X km/h. If the distance is Y km and the time taken is T hours, what is the value of X?","A train travels from City A to City B at a constant speed. If the distance between the two cities is 300 kilometers and the journey takes 5 hours, what is the speed of the train in kilometers per hour (km/h)?",0.833,80.0,85.0,85.0,90.0,90.0,90.0,100.0,95.0,1.0,0.9344835612529359
38,"A farmer has a field in the shape of a parallelogram. He wants to plant crops such that each corner of the field contains a different type of crop. If the total area of the field is 100 square meters, calculate the length of one side of the field and the height corresponding to that side.","A farmer has a rectangular-shaped field with an area of 100 square meters. He decides to divide the field into four equal smaller rectangles by adding two perpendicular fences. Each smaller rectangle will have a different type of crop planted at its corners. If the length of the field is twice its width, calculate the dimensions of the field and the height of each smaller rectangle."",
    ""solution"": ""Given that the length of the field is twice its width, let's denote the width of the field as \( w \) meters and the length as \( 2w \) meters. The area of the field is given as 100 square meters. Using the formula for the area of a rectangle (Area = length * width), we can set up the equation: \( 2w * w = 100 \). Simplifying, we get \( 2w^2 = 100 \), which leads to \( w^2 = 50 \). Solving for \( w \), we find \( w = \sqrt{50} = 5\sqrt{2} \) meters. Therefore, the length of the field is \( 2w = 10\sqrt{2} \) meters. When the field is divided into four smaller rectangles by adding two perpendicular fences, each smaller rectangle will have a width of \( \frac{5\sqrt{2}}{2} \) meters and a length of \( 5\sqrt{2} \) meters. The height of each smaller rectangle corresponds to the original width of the field, which is \( 5\sqrt{2} \) meters.",0.826,60.0,85.0,85.0,90.0,85.0,85.0,85.0,91.42857142857143,1.0,0.8879643588980424
