question_id,original_question,improved_question,quality_score,remembering_score,understanding_score,applying_score,analyzing_score,evaluating_score,creating_score,language_score,average_confidence,pass_rate,agent_agreement
11,"Billy orders 3 large pizzas for his party. Each pizza is cut into 8 slices. Before the guests arrive, his dog eats 5 slices from one of the pizzas. Then Billy eats half of what’s left from the second pizza. His friend Jessica takes a quarter of the remaining slices from the third pizza. How many slices are left after everyone eats?","Billy orders 3 large pizzas cut into 8 slices each. Before the party, his dog eats 5 slices from the first pizza, leaving 3 slices. Then, Billy eats half of the remaining slices from the second pizza, which had 8 slices initially. His friend Jessica takes a quarter of the remaining slices from the third pizza, which had 8 slices initially. How many slices are left after everyone eats?",0.986,90.0,85.0,85.0,85.0,85.0,85.0,95.0,92.85714285714286,1.0,0.958204758085305
12,"John takes a train that travels 80 miles per hour. His friend Mike leaves from the same location but takes a different train that goes 60 miles per hour. Mike leaves 30 minutes after John but somehow arrives 15 minutes before him. How long was John’s trip, and how far did he travel?","John and Mike depart from the same location, with John taking a train traveling at 80 miles per hour and Mike taking a train traveling at 60 miles per hour. Mike leaves 30 minutes (0.5 hours) after John, but surprisingly, Mike arrives 15 minutes (0.25 hours) before John. Assuming they travel along the same route, find the duration of John's trip and the total distance he traveled."",
    ""solution"": ""Let's denote the time John traveled as t hours. Since Mike left 30 minutes after John, Mike's travel time is t - 0.5 hours. Given that Mike arrives 15 minutes before John, his total travel time is t - 0.75 hours. We can set up the equation using the formula distance = speed × time for both John and Mike.

The distance John traveled is 80t miles, and the distance Mike traveled is 60(t - 0.75) miles. Since they traveled the same distance, we can set up the equation:

80t = 60(t - 0.75)

Simplifying the equation:

80t = 60t - 45

20t = 45

t = 45/20 = 2.25 hours

Now that we know the time John traveled, we can find the distance by multiplying his speed by his travel time:

d = 80 × 2.25 = 180 miles

Therefore, John's travel time was 2.25 hours, and he traveled a total distance of 180 miles.",0.699,95.0,85.0,65.0,85.0,85.0,70.0,90.0,92.14285714285714,1.0,0.878883580198399
13,"Tom shoots 30% from the 3-point line. If he takes 10 shots, he expects to make 3. However, he practices a lot and improves by 50%. After practicing, if he takes 12 shots, how many should he expect to make?","Tom, a skilled basketball player, shoots 30% from the 3-point line. Initially, he takes 10 shots and makes 3, which aligns with his expected performance based on his initial success rate. After intense practice, his shooting percentage improves by 50%. If he now takes 12 shots with his enhanced skills, what is the expected number of successful shots he should make?"",
  ""solution"": ""To solve this problem, we need to first calculate Tom's initial and improved shooting percentages. Initially, his shooting percentage is 30%, or 0.30. After improving by 50%, we add 0.50 \* 0.30 to his initial percentage, resulting in a new shooting percentage of 0.45 or 45%. Now, we multiply this improved percentage by the number of shots he takes, which is 12, to find the expected number of makes: 0.45 \* 12 = 5.4. Since we can't have a fraction of a shot, we round this to the nearest whole number. Therefore, Tom should expect to make approximately 5 or 6 shots after practicing.",0.6,95.0,50.0,65.0,85.0,85.0,70.0,90.0,92.85714285714286,1.0,0.8075499102701247
14,"A car accelerates from 0 to 60 mph in 5 seconds. Calculate its acceleration in m/s². If it maintains this acceleration, how fast will it be going in 10 seconds?
","A high-performance sports car accelerates from 0 to 60 mph in a remarkable 5 seconds. Assuming a constant acceleration, what is the car's acceleration in meters per second squared (m/s²)? If it maintains this acceleration, what will be its speed in 10 seconds, and what will be its approximate speed in miles per hour (mph)?"",
    ""solution"": ""To solve this problem, we'll follow these steps:

Step 1: Convert the final speed from miles per hour (mph) to meters per second (m/s).

We know that 1 mile is equal to 1609.34 meters and 1 hour is equal to 3600 seconds. Using this information, we can convert 60 mph to m/s:

v_f = 60 mph × (1609.34 m / 1 mile) × (1 hour / 3600 seconds) ≈ 26.82 m/s

Step 2: Calculate the acceleration using the formula a = Δv / Δt, where Δv is the change in velocity (v_f - v_i) and Δt is the time over which the acceleration occurs.

a = (26.82 m/s - 0 m/s) / 5 s ≈ 5.364 m/s²

Step 3: Calculate the speed after 10 seconds using the equation v = v_i + at, where v_i is the initial velocity (0 m/s), a is the acceleration (5.364 m/s²), and t is the time (10 s).

v = 0 m/s + 5.364 m/s² × 10 s ≈ 53.64 m/s

To convert the speed from m/s to mph, we can use the conversion factor:

1 m/s ≈ 2.23694 mph

So, the speed in mph is approximately:
v ≈ 53.64 m/s × (2.23694 mph / 1 m/s) ≈ 120 mph

Therefore, the acceleration is 5.364 m/s², the speed after 10 seconds is 53.64 m/s, and the approximate speed in mph is 120 mph.",0.696,95.0,70.0,65.0,85.0,85.0,85.0,95.0,90.71428571428571,1.0,0.8715546170193851
15,"John takes a train that travels 80 miles per hour. His friend Mike leaves from the same location but takes a different train that goes 60 miles per hour. Mike leaves 30 minutes after John but somehow arrives 15 minutes before him. How long was John’s trip, and how far did he travel?","John and Mike travel from the same location but take different trains. John's train travels at a constant speed of 80 miles per hour, while Mike's train travels at a speed of 60 miles per hour. If Mike leaves 30 minutes after John but arrives 15 minutes before him, what is the distance John traveled, and what was the duration of his trip?"",
    ""solution"": ""Let's denote the time John traveled as t hours. Since Mike left 30 minutes after John, the time Mike traveled is (t - 0.5) hours. We can use the formula Distance = Speed × Time to set up the equation for each person's trip.

For John: Distance = 80t
For Mike: Distance = 60(t - 0.5)

Since they traveled the same distance, we can equate the two expressions and solve for t:

80t = 60(t - 0.5)

Distribute 60:
80t = 60t - 30

Subtract 60t from both sides:
20t = -30

Divide by 20:
t = -1.5

Since time cannot be negative, we made an error in our assumption. Let's re-evaluate the problem.

Let's denote the time John traveled as t hours. The time Mike traveled is (t + 0.5) hours, since he left 30 minutes after John and arrived 15 minutes before him. We can use the formula Distance = Speed × Time to set up the equation for each person's trip.

For John: Distance = 80t
For Mike: Distance = 60(t + 0.5)

Since they traveled the same distance, we can equate the two expressions and solve for t:

80t = 60(t + 0.5)

Distribute 60:
80t = 60t + 30

Subtract 60t from both sides:
20t = 30

Divide by 20:
t = 1.5

Now that we have the time, we can calculate the distance John traveled:

Distance = 80t
= 80(1.5)
= 120 miles

Therefore, John traveled 120 miles in 1.5 hours.",0.824,90.0,85.0,70.0,85.0,85.0,85.0,95.0,90.71428571428571,1.0,0.9168109669192297
16,Two cards are drawn from a standard deck. What’s the probability both are aces?,"Two cards are drawn from a standard deck of 52 playing cards without replacement. What is the probability that both cards drawn are aces, and how does the probability change if the cards are drawn with replacement?",0.987,90.0,85.0,85.0,85.0,85.0,85.0,95.0,93.57142857142857,1.0,0.958204758085305
17,"A ship travels 50 nautical miles at a bearing of 320°, then turns to a bearing of 80° for 30 nautical miles. How far is it from the starting point?","A ship sails 50 nautical miles at a bearing of 320° from point A, then turns to a bearing of 80° and travels an additional 30 nautical miles. What is the straight-line distance from the ship's final position to its initial position at point A?",0.987,95.0,85.0,85.0,85.0,85.0,85.0,95.0,93.57142857142857,1.0,0.9485808510541727
18,"Sarah has 23 apples in her orchard. She picks 17 more apples, then gives 5 to her neighbor. The next day, she picks twice as many as the previous day, but 40% of those apples are rotten. If each non-rotten apple weighs between 0.2 and 0.3 pounds, approximately how many pounds of apples does Sarah have left?","Sarah has 23 apples in her orchard. She picks 17 more apples and then gives 5 to her neighbor, leaving her with 23 + 17 - 5 = 35 apples. The next day, she picks 2 * 17 = 34 apples, but 40% of these are rotten. If each non-rotten apple weighs between 0.2 and 0.3 pounds, and assuming an average weight of 0.25 pounds for non-rotten apples, how many pounds of apples does Sarah have left, rounded to the nearest pound?",0.986,90.0,85.0,85.0,85.0,85.0,85.0,95.0,92.85714285714286,1.0,0.958204758085305
19,"John's investment account grew by 12% last year. This year, it decreased by 8% in the first quarter, increased by 5% in the second quarter, and then decreased again by an unknown percentage in the third quarter. If John initially invested $10,000 and now has approximately $10,760, what was the percentage change in the third quarter?","John initially invested $10,000 in his account, which grew by 12% in the first year. In the following year, his account experienced the following changes: a decrease of 8% in the first quarter, an increase of 5% in the second quarter, and an unknown percentage decrease in the third quarter. If John's account balance after the third quarter is approximately $10,760, what is the percentage change in the third quarter? Assume all percentage changes occur sequentially, and each percentage change is applied to the balance at the end of the previous quarter.",0.989,90.0,90.0,85.0,85.0,85.0,85.0,95.0,94.28571428571429,1.0,0.9585445568000587
20,"The local high school is planning a field trip. They need to rent buses, which cost $550 each and can hold 52 students. If 3 teachers must accompany every 35 students and each person needs to pay an equal share of the transportation costs, how much should each person pay if 203 students are attending?","A local high school is planning a field trip for 203 students. Each bus costs $550 and can hold 52 students. Additionally, 3 teachers are required to accompany every 35 students. If the total cost of transportation is to be divided equally among all students and teachers, what is the minimum number of buses needed and the amount each person (student or teacher) should pay?",0.983,90.0,85.0,85.0,85.0,85.0,85.0,95.0,91.42857142857143,1.0,0.958204758085305
21,"If the average of four numbers is X, and one of the numbers is removed, the average of the remaining numbers is Y. Calculate the value of the removed number.","Five friends - Alex, Ben, Charlie, David, and Emily - have an average score of 80 points on a math test. After Emily's score is removed, the average of the remaining scores is 82 points. What is Emily's score?",0.831,70.0,90.0,90.0,90.0,90.0,90.0,95.0,94.28571428571429,1.0,0.9147309879536463
22,"A train leaves City A traveling towards City B at a speed of 80 km/h. Another train leaves City B heading towards City A on the same track at a speed of 60 km/h. If the distance between City A and City B is 200 km, at what point do the trains meet, assuming that City A and City B are 100 km apart?","Two trains are traveling towards each other on the same track. Train A leaves City A at a speed of 80 km/h and Train B leaves City B at a speed of 60 km/h. The distance between City A and City B is 200 km. Assuming the trains maintain their constant speeds and do not stop until they meet, at what point, measured from City A, will the trains meet?",0.833,80.0,85.0,85.0,90.0,90.0,90.0,95.0,95.0,1.0,0.9485808510541727
23,A train travels at a speed of 60 km/h for 1 hour then at 90 km/h for the next hour. How far does it travel in total if it keeps traveling without stopping?,A train travels at a speed of 60 km/h for the first hour and then at 90 km/h for the next hour. What is the total distance it covers in 3 hours?,0.83,80.0,85.0,85.0,85.0,85.0,85.0,95.0,93.57142857142857,1.0,0.9514087342096225
24,"A farmer has 20 apples and decides to distribute them among his 4 baskets. If the baskets are filled equally, how many oranges does each basket contain?","A farmer has 20 apples and 30 oranges that he wants to distribute equally among 4 baskets. If each basket is to contain the same number of fruits, how many fruits of each type will each basket contain?",0.696,70.0,85.0,85.0,85.0,85.0,85.0,75.0,90.71428571428571,1.0,0.9287365052224916
25,"Alex has 3 times as many apples as Ben. If Alex gives some apples to Ben, who will have more apples?","Alex has 3 times as many apples as Ben. If Alex gives 12 apples to Ben, who will have more apples, and by how many?",0.827,80.0,85.0,85.0,85.0,85.0,85.0,95.0,92.14285714285714,1.0,0.9514087342096225
26,"A train leaves city A traveling at 60 miles per hour. Another train leaves city B traveling at 70 miles per hour towards city A. Assuming the trains are on the same track, when will they meet?","Two trains, one traveling at 60 miles per hour from city A and the other at 70 miles per hour from city B, are headed directly towards each other. Assuming a straight, flat track with no speed changes, and that they start 240 miles apart, where will they meet and how long will it take for them to meet?",0.831,80.0,85.0,85.0,90.0,90.0,85.0,95.0,94.28571428571429,1.0,0.9481593826201905
27,"A rectangle has a perimeter of 36 cm. If the length is twice the width, find the area of the rectangle.","In a rectangle with a perimeter of 36 cm, the length is twice the width. If the length is denoted as L and the width as W, and it is given that L = 2W, find the area of the rectangle in terms of W, given that the perimeter P = 2(L + W).",0.989,90.0,85.0,85.0,90.0,90.0,85.0,95.0,94.28571428571429,1.0,0.960492100922852
28,"If a car travels at a constant speed of 60 miles per hour and reaches its destination after an hour, how much time would it take to reach the same destination if the car travels at twice the speed but takes 30 minutes longer due to traffic?","A car travels at a constant speed of 60 miles per hour and covers a distance of 60 miles in 1 hour. If the speed is doubled to 120 miles per hour, but the driver encounters 30 minutes of traffic delay, how much time will it take to cover the same distance of 60 miles?",0.831,80.0,85.0,85.0,90.0,90.0,85.0,100.0,94.28571428571429,1.0,0.9329576321037779
29,"If a train leaves Station A traveling at a speed of 60 miles per hour, how far does it travel before it meets another train that leaves Station B at the same time traveling at 40 miles per hour?","Two trains, one traveling at 60 miles per hour from Station A and the other at 40 miles per hour from Station B, are heading directly towards each other on a straight track. If Station A and Station B are 240 miles apart, how long will it take for the two trains to meet, and what will be the distance traveled by each train before they collide?",0.991,90.0,90.0,90.0,90.0,90.0,90.0,100.0,95.71428571428571,1.0,0.9617267227690128
30,"A car travels from City A to City B, which are 100 miles apart, at an average speed of 50 miles per hour. At some point during the journey, the car stops and takes a break. How long was the total journey?","A car travels from City A to City B, which are 100 miles apart, at an average speed of 50 miles per hour. During the journey, the car stops for a break that lasts for 30 minutes. What is the total time taken for the car to travel from City A to City B, including the break?",0.99,90.0,85.0,85.0,90.0,90.0,85.0,95.0,95.0,1.0,0.960492100922852
31,"John is twice as old as Mary. In five years, Mary's age will be three times what John's age was five years ago. How old are John and Mary now?","John is currently 18 years older than Mary. In five years, Mary's age will be three times what John's age was five years ago. What are their current ages?",0.829,80.0,85.0,85.0,85.0,90.0,85.0,95.0,92.85714285714286,1.0,0.9490544297275291
32,"A rectangle has a perimeter of 24 cm. If its length is twice as much longer than its width, what is the area of the rectangle?","A rectangle has a perimeter of 24 cm. Its length is exactly twice its width. If the width is represented by 'w' cm, find the area of the rectangle in terms of 'w' and calculate the area when 'w' is 4 cm.",0.99,90.0,90.0,90.0,90.0,90.0,90.0,95.0,95.0,1.0,0.9807126791906836
33,"Two cars are traveling from Town A to Town B. Car X leaves Town A at 9 AM going 50 km/h and Car Y leaves Town A at the same time going 70 km/h. If the one-way distance between the towns is 120 km, what time will the faster car arrive after the slower car?","Two cars, X and Y, are traveling from Town A to Town B. Car X travels at a speed of 50 km/h, while Car Y travels at a speed of 70 km/h. If the one-way distance between the towns is 120 km, what is the time difference between the arrival times of the two cars?",0.99,90.0,85.0,85.0,90.0,90.0,85.0,100.0,95.0,1.0,0.9445743741577959
34,A rectangular garden has a length that is twice its width. Calculate the perimeter if the garden is parallel to the river.,"A rectangular garden with a length that is twice its width has a walkway of uniform width along each side. If the width of the garden is 6 meters, what is the total length of the walkway around the garden?",0.696,70.0,85.0,85.0,85.0,85.0,75.0,85.0,90.71428571428571,1.0,0.9287365052224916
35,"A rectangle has a length twice its width. If the area of the rectangle is increased by 20 square units when the length is increased by 3 units, what is the original width?","A rectangle's length is twice its width. If the length is increased by 3 units, and the resulting area is 20 square units more than the original area, find the original width of the rectangle. Assume that the width remains constant during the length increase.",0.991,90.0,85.0,85.0,90.0,90.0,85.0,100.0,95.71428571428571,1.0,0.9445743741577959
36,"A train travels from City A to City B in 1.5 hours at a constant speed. If the train leaves City A at 2:00 PM and arrives at City B at 3:00 PM, what is the speed of the train in kilometers per hour?","A train departs from City A at 2:00 PM and travels to City B at a constant speed. If the distance between City A and City B is 50 kilometers, and the train arrives at City B at 3:00 PM, what is the speed of the train in kilometers per hour? Alternatively, if the train leaves at 2:00 PM and arrives at City B at 3:00 PM, what is the speed of the train in kilometers per hour, given that the distance between City A and City B is 75 kilometers or 90 kilometers?",0.824,80.0,85.0,85.0,85.0,85.0,85.0,85.0,90.71428571428571,1.0,0.9792416123492951
37,"A train travels from City A to City B at a constant speed of X km/h. If the distance is Y km and the time taken is T hours, what is the value of X?","A train travels from City A to City B at a constant speed of X km/h. Given that the distance between the cities is 240 km and the time taken is 4 hours, what is the value of X?",0.99,90.0,85.0,85.0,90.0,90.0,85.0,95.0,95.0,1.0,0.960492100922852
38,"A farmer has a field in the shape of a parallelogram. He wants to plant crops such that each corner of the field contains a different type of crop. If the total area of the field is 100 square meters, calculate the length of one side of the field and the height corresponding to that side.","A farmer has a triangular field with one side adjacent to a straight river. He wants to plant crops along the river and on the land opposite to it. If the total area of the field is 100 square meters and the length of the side adjacent to the river is 20 meters, calculate the height of the field corresponding to that side.",0.827,60.0,85.0,85.0,90.0,85.0,85.0,95.0,92.14285714285714,1.0,0.8773273496204502
39,"A train travels from City A to City B. If the speed of the train is doubled, the time taken is reduced by half. What is the speed of the train?","A train travels from City A to City B, covering a distance of 240 km. If the speed of the train is doubled, it takes 2 hours less to complete the journey. What is the original speed of the train in km/h?",0.831,80.0,90.0,90.0,90.0,90.0,85.0,95.0,94.28571428571429,1.0,0.9502869838470244
40,"Calculate the area of a shape given that one side is 5 units longer than twice the length of the other side, and the perimeter of the shape is 40 units.","A rectangle has one side that is 5 units longer than twice the length of the other side. If the perimeter of the rectangle is 40 units, what is its area? Assume the rectangle's sides are parallel and perpendicular, and its angles are right angles.",0.992,90.0,90.0,85.0,90.0,95.0,90.0,100.0,96.14285714285714,1.0,0.9518405156018048
41,"A train leaves Station A heading towards Station B at 60 miles per hour. Another train leaves Station B heading towards Station A at the same time at a speed of x miles per hour. If the distance between Station A and Station B is d, they meet after y hours. Calculate the value of z.","Two trains, one traveling at 60 miles per hour and the other at x miles per hour, depart from opposite ends of a track that is d miles long. They meet after y hours. What is the relationship between the speeds of the two trains and the time it takes for them to meet?",0.827,80.0,85.0,85.0,85.0,85.0,85.0,95.0,92.14285714285714,1.0,0.9514087342096225
42,"A rectangle has a length that is twice the width, and the area of the rectangle is 50 square units. What is the perimeter of the rectangle?","A rectangle has a length that is twice its width, and its area is 50 square units. However, the rectangle's dimensions must be integers. What is the perimeter of the rectangle?"",
    ""solution"": ""To find the perimeter of the rectangle, we need to first determine the possible values of the width and length. Let's denote the width as W and the length as 2W. The area A of the rectangle is given by A = length \times width = 2W \times W = 2W^2. Since the area is 50 square units, we have the equation 2W^2 = 50. We can solve for W by dividing both sides by 2, resulting in W^2 = 25. Taking the square root of both sides gives W = \sqrt{25} = 5. However, we need to consider the possibility of negative values for W, but since the width cannot be negative, we discard this solution. The only possible value for W is 5. Given that the length is twice the width, the length is 2 \times 5 = 10. Now, we can calculate the perimeter using the formula P = 2(length + width) = 2(10 + 5) = 30.",0.986,90.0,85.0,85.0,85.0,85.0,85.0,95.0,92.85714285714286,1.0,0.958204758085305
43,"Alex has x more apples than Beth. Together, they have 10 apples. How many apples does Beth have if Alex has twice as many apples as Beth?","Alex has x more apples than Beth. Together, they have a total of 10 apples. If Alex has twice as many apples as Beth, how many apples does Beth have, given that x is a fixed number representing the difference in their apple quantities?",0.473,90.0,85.0,70.0,70.0,70.0,65.0,70.0,86.42857142857143,1.0,0.8838168656385137
44,"A train leaves from Station A towards Station B, which is 150 miles away. A second train leaves from Station B towards Station A at the same time. If the first train travels at a constant speed of 60 mph and the second train travels at 50 mph, at what time will they meet?","Two trains, one traveling at 60 mph and the other at 50 mph, leave their respective stations 150 miles apart at the same time. Assuming they move towards each other, what is the time it takes for the trains to meet, given that they travel at a constant speed?",0.833,80.0,85.0,85.0,90.0,90.0,85.0,95.0,95.0,1.0,0.9481593826201905
45,"A rectangle has a length that is twice its width. If the perimeter of the rectangle is 30 units, find the area without using any measurements.","A rectangle's length is twice its width. Given that its perimeter is 30 units, find the area using the relationship between the perimeter, length, and width, without explicitly calculating the individual dimensions.",0.824,80.0,85.0,85.0,85.0,85.0,85.0,90.0,90.71428571428571,1.0,0.9685575009514795
46,"If a car travels at 60 kilometers per hour, how long does it take to travel 120 kilometers or 80 kilometers?",A car travels at a constant speed of 60 kilometers per hour. Compare the time taken to travel 120 kilometers and 80 kilometers. What is the difference in time between these two journeys?,0.991,90.0,90.0,85.0,90.0,90.0,85.0,100.0,95.71428571428571,1.0,0.948565550012636
47,"A farmer is dividing apples. If twice the number of apples plus 3 apples equals 10 apples, how many apples does each of the farmer's 3 bags contain?","A farmer is dividing 21 apples among 3 bags. Each bag is to be filled with the same number of apples. If 3 apples are removed from the total before the division, how many apples will each bag contain?",0.83,60.0,85.0,85.0,90.0,90.0,90.0,95.0,93.57142857142857,1.0,0.874230003805918
48,A train travels from Station A to Station B at a speed of 60 km/h. Another train departs 30 minutes later from Station B to Station A at a speed of 80 km/h. At what point do the two trains meet?,"Two trains are traveling towards each other on the same track. Train A departs from Station A at a speed of 60 km/h and travels towards Station B. Thirty minutes later, Train B departs from Station B at a speed of 80 km/h and heads towards Station A. If the distance between Station A and Station B is 240 km, at what time do the two trains meet?",0.831,80.0,90.0,90.0,90.0,90.0,90.0,95.0,94.28571428571429,1.0,0.9533523848412376
49,"If 3x + 4 equals 12, what is y?","A bakery sells a combination of sugar cookies and chocolate chip cookies for a total of $12. A sugar cookie costs $3 and a chocolate chip cookie costs $4. If you buy 3 times as many chocolate chip cookies as sugar cookies and 2 sugar cookies, how much will you spend on the chocolate chip cookies?",0.696,20.0,85.0,85.0,85.0,85.0,85.0,80.0,90.71428571428571,1.0,0.6997355662774392
