question_id,original_question,improved_question,quality_score,remembering_score,understanding_score,applying_score,analyzing_score,evaluating_score,creating_score,language_score,average_confidence,pass_rate,agent_agreement
12,"John takes a train that travels 80 miles per hour. His friend Mike leaves from the same location but takes a different train that goes 60 miles per hour. Mike leaves 30 minutes after John but somehow arrives 15 minutes before him. How long was John’s trip, and how far did he travel?","John and Mike are traveling from the same starting point to the same destination. John takes a train that travels at 80 miles per hour, while Mike takes a train that travels at 60 miles per hour. Mike leaves 30 minutes after John but arrives 15 minutes before him. How long was John's trip, and how far did he travel?"",
    ""solution"": ""Let \( t \) be the time (in hours) that John traveled. Since Mike arrives 15 minutes before John, his travel time is \( t - \frac{1}{4} \) hours. Mike leaves 30 minutes (or \(\frac{1}{2}\) hour) after John, so his total travel time is \( t - \frac{1}{2} - \frac{1}{4} = t - \frac{3}{4} \) hours. Let \( d \) be the distance traveled by both John and Mike. We set up the following equations based on the given speeds and times: \n\n\[ d = 80t \quad \text{(John's distance formula)} \quad \text{and} \quad d = 60 \left( t - \frac{3}{4} \right) \quad \text{(Mike's distance formula)}. \quad \text{Setting these equal to each other gives:} \quad 80t = 60 \left( t - \frac{3}{4} \right) \quad \text{and solving this equation yields} \quad t = 2.25 \, \text{hours.} \quad \text{Now that we know} \quad t = 2.25 \, \text{hours,} \quad \text{we can calculate the distance:} \quad d = 80 \times 2.25 = 180 \, \text{miles.} \quad \text{Thus, John's travel time was 2.25 hours, and he traveled 180 miles.} \n\n\textbf{Final Answers:} \nJohn's travel time: 2.25 hours \nDistance traveled: 180 miles",0.48,95.0,50.0,50.0,65.0,70.0,65.0,90.0,90.0,1.0,0.7640098321183588
13,"Tom shoots 30% from the 3-point line. If he takes 10 shots, he expects to make 3. However, he practices a lot and improves by 50%. After practicing, if he takes 12 shots, how many should he expect to make?","Tom initially shoots 30% from the 3-point line. If he takes 10 shots, he is expected to make 3. After improving his shooting skills by 50% through rigorous practice, he decides to take 12 shots. How many shots should he expect to make now?",0.599,95.0,50.0,50.0,85.0,85.0,70.0,95.0,92.14285714285714,1.0,0.7620845242845568
14,"A car accelerates from 0 to 60 mph in 5 seconds. Calculate its acceleration in m/s². If it maintains this acceleration, how fast will it be going in 10 seconds?
","A car accelerates from rest to 60 miles per hour in 5 seconds. Calculate its acceleration in meters per second squared (m/s²). If it maintains this acceleration, how fast will it be going in 10 seconds?"",
    ""solution"": ""First, convert the final speed from miles per hour to meters per second. Then, use the formula for acceleration, \( a = \frac{v_f - v_i}{t} \), to find the car's acceleration. Finally, use the formula for final velocity, \( v = v_i + at \), to calculate the speed after 10 seconds. Ensure to convert the final speed back to miles per hour for the answer.",0.48,95.0,50.0,50.0,70.0,70.0,70.0,95.0,90.0,1.0,0.7612532722737336
15,"John takes a train that travels 80 miles per hour. His friend Mike leaves from the same location but takes a different train that goes 60 miles per hour. Mike leaves 30 minutes after John but somehow arrives 15 minutes before him. How long was John’s trip, and how far did he travel?","John and Mike are traveling by train. John's train travels at 80 miles per hour, while Mike's train travels at 60 miles per hour. Mike leaves 30 minutes after John but arrives 15 minutes before him. Calculate the time it takes for John's trip and the distance he travels."",
    ""solution"": ""Let's denote the time John travels as \( t \) hours. Since Mike leaves 30 minutes (or 0.5 hours) after John and arrives 15 minutes (or 0.25 hours) earlier, the time Mike travels is \( t - 0.5 - 0.25 = t - 0.75 \) hours. The distance John travels is \( 80t \) miles, and the distance Mike travels is \( 60(t - 0.75) \) miles. Since they arrive at the same time, we can set these distances equal to each other: \n\[ 80t = 60(t - 0.75) \]\nSolving for \( t \), we get: \n\[ 80t = 60t - 45 \]\n\[ 20t = 45 \]\n\[ t = \frac{45}{20} = 2.25 \] hours. Therefore, John's trip takes 2.25 hours, and he travels \( 80 \times 2.25 = 180 \) miles.",0.827,95.0,85.0,65.0,85.0,85.0,85.0,95.0,92.14285714285714,1.0,0.8910799882620528
16,Two cards are drawn from a standard deck. What’s the probability both are aces?,"A standard deck of 52 cards has 4 aces. Two cards are drawn from the deck. If the first card is not replaced, what is the probability that both cards drawn are aces? If the first card is replaced, what is the probability that both cards drawn are aces?",0.984,90.0,85.0,85.0,85.0,85.0,85.0,85.0,92.14285714285714,1.0,0.9795875854768068
17,"A ship travels 50 nautical miles at a bearing of 320°, then turns to a bearing of 80° for 30 nautical miles. How far is it from the starting point?","A ship starts at a point A and travels 50 nautical miles in a direction that makes a 320° angle with the north. It then turns to a bearing of 80° and travels an additional 30 nautical miles. Determine the distance from the ship's starting point after these two legs of the journey. Consider the Earth's surface as a flat plane for this calculation."",
    ""solution"": ""To solve this problem, we can use the Law of Cosines. The ship's path forms a triangle with the starting point A, and the two legs of the journey. Let's denote the distance from the starting point to the endpoint of the second leg as \(d\). Using the Law of Cosines, we have:

    \[
    d^2 = 50^2 + 30^2 - 2 \cdot 50 \cdot 30 \cdot \cos(80^\circ - 320^\circ)
    \]

    Since \(80^\circ - 320^\circ\) is equivalent to \(80^\circ - 320^\circ + 360^\circ = 160^\circ\), we can rewrite the equation as:

    \[
    d^2 = 50^2 + 30^2 - 2 \cdot 50 \cdot 30 \cdot \cos(160^\circ)
    \]

    Simplifying the equation and solving for \(d\) will give us the distance from the starting point.",0.827,95.0,85.0,70.0,85.0,85.0,85.0,95.0,92.14285714285714,1.0,0.9094768292399982
18,"Sarah has 23 apples in her orchard. She picks 17 more apples, then gives 5 to her neighbor. The next day, she picks twice as many as the previous day, but 40% of those apples are rotten. If each non-rotten apple weighs between 0.2 and 0.3 pounds, approximately how many pounds of apples does Sarah have left?","Sarah has 23 apples in her orchard. She picks 17 more apples and gives 5 to her neighbor. The next day, she picks twice as many apples as the previous day, but 40% of those apples are rotten. If each non-rotten apple weighs between 0.2 and 0.3 pounds, approximately how many pounds of apples does Sarah have left?"",
  ""solution"": ""Let's break down the problem step-by-step:

1. Sarah starts with 23 apples.
2. She picks 17 more, so she has 23 + 17 = 40 apples.
3. She gives 5 to her neighbor, leaving her with 40 - 5 = 35 apples.
4. The next day, she picks twice as many as the previous day, which is 2 * 17 = 34 apples.
5. 40% of those apples are rotten, so she keeps 60% of 34, which is 0.6 * 34 = 20.4 apples.
6. Assuming the non-rotten apples weigh between 0.2 and 0.3 pounds, the total weight of the non-rotten apples Sarah has left is approximately between 20.4 * 0.2 = 4.08 pounds and 20.4 * 0.3 = 6.12 pounds.
7. Adding the apples from the first day to the non-rotten apples from the second day, the total weight is between (35 * 0.2 + 4.08) = 7.78 pounds and (35 * 0.3 + 6.12) = 12.32 pounds.

Therefore, Sarah has approximately between 7.78 pounds and 12.32 pounds of apples left.",0.599,100.0,50.0,50.0,85.0,90.0,65.0,85.0,92.14285714285714,1.0,0.753114640060653
19,"John's investment account grew by 12% last year. This year, it decreased by 8% in the first quarter, increased by 5% in the second quarter, and then decreased again by an unknown percentage in the third quarter. If John initially invested $10,000 and now has approximately $10,760, what was the percentage change in the third quarter?","John's investment account started at $10,000. Over the course of a year, the account experienced the following changes: a 12% increase in the first year, followed by an 8% decrease in the first quarter of the second year, a 5% increase in the second quarter of the second year, and an unknown percentage decrease in the third quarter of the second year. If the final balance after all changes is approximately $10,760, what was the percentage change in the third quarter?",0.987,95.0,85.0,85.0,85.0,85.0,85.0,95.0,93.57142857142857,1.0,0.9485808510541727
20,"The local high school is planning a field trip. They need to rent buses, which cost $550 each and can hold 52 students. If 3 teachers must accompany every 35 students and each person needs to pay an equal share of the transportation costs, how much should each person pay if 203 students are attending?","A local high school is organizing a field trip. They need to rent buses that cost $550 each and can hold 52 students. For every 35 students, 3 teachers must accompany them. Each person (student or teacher) needs to pay an equal share of the transportation costs. If 203 students are attending, how much should each person pay?",0.989,95.0,85.0,85.0,85.0,85.0,85.0,95.0,94.28571428571429,1.0,0.9485808510541727
21,"If the average of four numbers is X, and one of the numbers is removed, the average of the remaining numbers is Y. Calculate the value of the removed number.","Given four numbers A, B, C, and D, their average is X. When one of these numbers is removed, the average of the remaining three numbers is Y. Determine the value of the removed number.",0.987,90.0,85.0,85.0,85.0,85.0,85.0,95.0,93.57142857142857,1.0,0.958204758085305
22,"A train leaves City A traveling towards City B at a speed of 80 km/h. Another train leaves City B heading towards City A on the same track at a speed of 60 km/h. If the distance between City A and City B is 200 km, at what point do the trains meet, assuming that City A and City B are 100 km apart?","Train A leaves City A at 12:00 PM traveling towards City B at a speed of 80 km/h. Train B leaves City B at 12:05 PM heading towards City A on the same track at a speed of 60 km/h. The distance between City A and City B is 200 km. What is the distance of the meeting point from City A, assuming that City A is at the origin (0 km) and City B is at 200 km?"",
    ""solution"": ""Let's denote the meeting point as \( D \) km from City A. Since Train A travels for 5 minutes (or 1/12 of an hour) more than Train B, it will cover 80 km/h * 1/12 h = 6.67 km more. Therefore, the distance covered by Train A when they meet is \( D \), and the distance covered by Train B is \( 200 - D \). Since Train B travels at 60 km/h, the time it takes for Train B to reach the meeting point is \( \frac{200 - D}{60} \) hours. Thus, Train A's travel time is \( \frac{200 - D}{60} + \frac{1}{12} \) hours. Setting up the equation for the distances covered by each train, we get: \( 80 \left( \frac{200 - D}{60} + \frac{1}{12} \right) = D \). Solving this equation for \( D \) will give us the distance of the meeting point from City A.",0.986,90.0,85.0,85.0,85.0,90.0,85.0,85.0,92.85714285714286,1.0,0.973865473882906
23,A train travels at a speed of 60 km/h for 1 hour then at 90 km/h for the next hour. How far does it travel in total if it keeps traveling without stopping?,A train travels at a speed of 60 km/h for the first hour and then at 90 km/h for the next hour. How far does the train travel in total over these two hours?,0.991,90.0,85.0,85.0,90.0,90.0,85.0,100.0,95.71428571428571,1.0,0.9445743741577959
24,"A farmer has 20 apples and decides to distribute them among his 4 baskets. If the baskets are filled equally, how many oranges does each basket contain?","A farmer has 20 apples and decides to distribute them equally among 4 baskets. If each basket contains 5 apples, how many oranges does each basket contain if the farmer decides to add 3 oranges to each basket?",0.827,70.0,85.0,85.0,85.0,85.0,85.0,95.0,92.14285714285714,1.0,0.9196031103347022
25,"Alex has 3 times as many apples as Ben. If Alex gives some apples to Ben, who will have more apples?","Alex has 3 times as many apples as Ben. If Alex gives Ben half of his apples, how many more apples will Ben have compared to Alex after the exchange?",0.83,80.0,85.0,85.0,85.0,90.0,85.0,95.0,93.57142857142857,1.0,0.9490544297275291
26,"A train leaves city A traveling at 60 miles per hour. Another train leaves city B traveling at 70 miles per hour towards city A. Assuming the trains are on the same track, when will they meet?","Two trains depart from cities A and B, which are 300 miles apart. Train A travels at 60 miles per hour, and Train B travels at 70 miles per hour towards each other. At what time will they meet?",0.831,80.0,90.0,85.0,90.0,90.0,90.0,95.0,94.28571428571429,1.0,0.9502869838470244
27,"A rectangle has a perimeter of 36 cm. If the length is twice the width, find the area of the rectangle.","A rectangle has a perimeter of 36 cm. If the length is twice the width, and the length is the longer side of the rectangle, find the area of the rectangle."",
    ""solution"": ""Let's denote the width of the rectangle as \( w \) and the length as \( l \). Given that the length is twice the width, we have \( l = 2w \). The perimeter \( P \) of a rectangle is given by \( P = 2l + 2w \). Substituting the given perimeter and the relationship between length and width, we get \( 36 = 2(2w) + 2w \). Simplifying this equation, we find \( 36 = 6w \), which gives \( w = 6 \) cm. Therefore, the length \( l = 2w = 12 \) cm. The area \( A \) of the rectangle is given by \( A = l \times w = 12 \times 6 = 72 \) cm².",0.984,90.0,85.0,85.0,85.0,85.0,85.0,85.0,92.14285714285714,1.0,0.9795875854768068
28,"If a car travels at a constant speed of 60 miles per hour and reaches its destination after an hour, how much time would it take to reach the same destination if the car travels at twice the speed but takes 30 minutes longer due to traffic?","A car travels at a constant speed of 60 miles per hour and reaches its destination in 1 hour. What is the distance to the destination? If the car travels at twice the speed (120 miles per hour) but encounters traffic that adds 30 minutes to the travel time, how long does it take to reach the destination? Assume the traffic delay is additional to the travel time without traffic.",0.829,80.0,85.0,85.0,85.0,90.0,85.0,95.0,92.85714285714286,1.0,0.9490544297275291
29,"If a train leaves Station A traveling at a speed of 60 miles per hour, how far does it travel before it meets another train that leaves Station B at the same time traveling at 40 miles per hour?","Two trains leave Station A and Station B simultaneously. Train A travels at a speed of 60 miles per hour, and Train B travels at 40 miles per hour. If they are traveling towards each other, how long will it take for them to meet? Assume the distance between Station A and Station B is 120 miles.",0.831,80.0,90.0,85.0,90.0,90.0,90.0,95.0,94.28571428571429,1.0,0.9502869838470244
30,"A car travels from City A to City B, which are 100 miles apart, at an average speed of 50 miles per hour. At some point during the journey, the car stops and takes a break. How long was the total journey?","A car travels from City A to City B, which are 100 miles apart. The car travels at an average speed of 50 miles per hour, including the time spent stationary. At what time did the car arrive in City B if it left at 9:00 AM and took a 30-minute break after 2 hours of travel?",0.831,80.0,85.0,85.0,90.0,85.0,85.0,95.0,94.28571428571429,1.0,0.9490544297275291
31,"John is twice as old as Mary. In five years, Mary's age will be three times what John's age was five years ago. How old are John and Mary now?","John is currently twice as old as Mary. In five years, Mary will be three times as old as John was five years ago. Determine their current ages."",
    ""solution"": ""Let \( J \) represent John's current age and \( M \) represent Mary's current age. From the problem, we have two equations: \n1) \( J = 2M \) \n2) \( M + 5 = 3(J - 5) \). Solving these equations will give us their current ages.",0.826,90.0,85.0,65.0,85.0,85.0,85.0,90.0,91.42857142857143,1.0,0.9055952049813054
32,"A rectangle has a perimeter of 24 cm. If its length is twice as much longer than its width, what is the area of the rectangle?","A rectangle has a perimeter of 24 cm. If the length is exactly twice the width, what is the area of the rectangle?"",
    ""solution"": ""Let the width of the rectangle be \( w \) cm. Then the length is \( 2w \) cm. The perimeter of the rectangle is given by \( 2 \times \text{length} + 2 \times \text{width} = 24 \) cm. Substituting the expressions for the length and width, we get \( 2(2w) + 2w = 24 \). Simplifying this equation, \( 4w + 2w = 24 \) leads to \( 6w = 24 \). Solving for \( w \), we find \( w = 4 \) cm. Therefore, the length \( l = 2w = 8 \) cm. The area of the rectangle is \( \text{length} \times \text{width} = 8 \times 4 = 32 \) square cm.",0.989,90.0,85.0,85.0,90.0,90.0,85.0,95.0,94.28571428571429,1.0,0.960492100922852
33,"Two cars are traveling from Town A to Town B. Car X leaves Town A at 9 AM going 50 km/h and Car Y leaves Town A at the same time going 70 km/h. If the one-way distance between the towns is 120 km, what time will the faster car arrive after the slower car?","Two cars, Car X and Car Y, are traveling from Town A to Town B. Car X leaves Town A at 9 AM traveling at a constant speed of 50 km/h, while Car Y leaves at the same time traveling at 70 km/h. The one-way distance between the towns is 120 km. How long does it take for Car Y to reach Town B after Car X?"",
    ""solution"": ""To solve this problem, we first calculate the time it takes for each car to travel to Town B. The time for Car X is calculated as distance divided by speed: \( t_X = \frac{120 \text{ km}}{50 \text{ km/h}} = 2.4 \text{ hours} \). Similarly, for Car Y: \( t_Y = \frac{120 \text{ km}}{70 \text{ km/h}} = 1.714 \text{ hours} \). The difference in arrival times is \( t_X - t_Y = 2.4 \text{ hours} - 1.714 \text{ hours} = 0.686 \text{ hours} \). Thus, Car Y arrives \( 0.686 \text{ hours} \) before Car X.",0.986,90.0,85.0,85.0,85.0,85.0,85.0,95.0,92.85714285714286,1.0,0.958204758085305
34,A rectangular garden has a length that is twice its width. Calculate the perimeter if the garden is parallel to the river.,"A rectangular garden has a length that is twice its width. If the garden is 10 meters wide, what is its perimeter?"",
  ""solution"": ""Let the width of the garden be \( w \). Given that the length is twice the width, we have \( l = 2w \). Since the width \( w \) is given as 10 meters, the length \( l \) is \( 2 \times 10 = 20 \) meters. The perimeter \( P \) of a rectangle is given by \( P = 2(l + w) \). Substituting the values, we get \( P = 2(20 + 10) = 2 \times 30 = 60 \) meters. Thus, the perimeter of the garden is 60 meters.",0.833,80.0,85.0,85.0,90.0,90.0,85.0,95.0,95.0,1.0,0.9481593826201905
35,"A rectangle has a length twice its width. If the area of the rectangle is increased by 20 square units when the length is increased by 3 units, what is the original width?","A rectangle has a length that is twice its width. If the length is increased by 3 units, the area increases by 20 square units. Find the original width of the rectangle."",
  ""solution"": ""Let the original width of the rectangle be \( w \) units. Then, the original length is \( 2w \) units. The area of the original rectangle is \( 2w \times w = 2w^2 \) square units. After increasing the length by 3 units, the new length is \( 2w + 3 \) units, and the new area is \( (2w + 3)w \) square units. The increase in area is given by \( (2w + 3)w - 2w^2 = 20 \). Simplifying, we get \( 3w + 3w^2 - 2w^2 = 20 \), which reduces to \( w^2 + 3w - 20 = 0 \). Solving this quadratic equation, we find \( w = 4 \) or \( w = -5 \) (discard the negative value as width cannot be negative). Therefore, the original width of the rectangle is 4 units.",0.987,90.0,85.0,85.0,85.0,90.0,85.0,95.0,93.57142857142857,1.0,0.9585445568000587
36,"A train travels from City A to City B in 1.5 hours at a constant speed. If the train leaves City A at 2:00 PM and arrives at City B at 3:00 PM, what is the speed of the train in kilometers per hour?","A train departs from City A at 2:00 PM and arrives at City B at 3:30 PM, traveling at a constant speed. Given that the total travel time is 1.5 hours, what is the average speed of the train in kilometers per hour? (Hint: You need to know the distance between City A and City B to solve this problem.)",0.984,90.0,85.0,85.0,85.0,85.0,85.0,85.0,92.14285714285714,1.0,0.9795875854768068
37,"A train travels from City A to City B at a constant speed of X km/h. If the distance is Y km and the time taken is T hours, what is the value of X?","A train travels a distance of 300 km from City A to City B at a constant speed. If the time taken for the journey is 4 hours, what is the constant speed of the train in km/h?",0.834,80.0,85.0,85.0,90.0,90.0,90.0,100.0,95.71428571428571,1.0,0.9344835612529359
38,"A farmer has a field in the shape of a parallelogram. He wants to plant crops such that each corner of the field contains a different type of crop. If the total area of the field is 100 square meters, calculate the length of one side of the field and the height corresponding to that side.","A farmer has a rectangular field with a total area of 100 square meters. The farmer wants to plant different crops in each corner of the field. If the length of one side of the field is 20 meters, determine the height of the field and the lengths of the other side.",0.83,60.0,85.0,85.0,90.0,85.0,85.0,100.0,93.57142857142857,1.0,0.8676228868490398
39,"A train travels from City A to City B. If the speed of the train is doubled, the time taken is reduced by half. What is the speed of the train?","A train travels between City A and City B. The distance between City A and City B is 100 miles. If the speed of the train is doubled, the time taken to travel from City A to City B is reduced by half. What is the original speed of the train in miles per hour?"",
    ""solution"": ""Let's denote the original speed of the train as \( v \) miles per hour. The time taken to travel 100 miles at this speed is \( \frac{100}{v} \) hours. When the speed is doubled, the new speed is \( 2v \) miles per hour, and the time taken is \( \frac{100}{2v} = \frac{50}{v} \) hours. According to the problem, this new time is half the original time, so we set up the equation \( \frac{100}{v} = 2 \cdot \frac{50}{v} \). Solving for \( v \), we find that \( v = 50 \) miles per hour.",0.83,80.0,85.0,85.0,90.0,90.0,85.0,95.0,93.57142857142857,1.0,0.9481593826201905
40,"Calculate the area of a shape given that one side is 5 units longer than twice the length of the other side, and the perimeter of the shape is 40 units.","A quadrilateral has one side that is 5 units longer than twice the length of another side, and its perimeter is 40 units. What is the area of the quadrilateral?",0.469,70.0,70.0,65.0,65.0,65.0,65.0,70.0,84.28571428571429,1.0,0.963147855158109
41,"A train leaves Station A heading towards Station B at 60 miles per hour. Another train leaves Station B heading towards Station A at the same time at a speed of x miles per hour. If the distance between Station A and Station B is d, they meet after y hours. Calculate the value of z.","Two trains leave stations A and B at the same time, traveling towards each other. Train A travels at 60 miles per hour, and Train B travels at x miles per hour. The distance between the two stations is d miles. They meet after y hours. Calculate the relative speed at which they approach each other, which is the sum of their speeds, and call this value z. What is z?",0.831,80.0,85.0,85.0,85.0,90.0,85.0,95.0,94.28571428571429,1.0,0.9490544297275291
42,"A rectangle has a length that is twice the width, and the area of the rectangle is 50 square units. What is the perimeter of the rectangle?","A rectangle has a length that is twice its width. If the area of the rectangle is 50 square units, find the perimeter of the rectangle."",
    ""solution"": ""Let the width of the rectangle be \( w \). Then, the length of the rectangle is \( 2w \). The area \( A \) of the rectangle is given by \( A = \text{length} \times \text{width} = 2w \times w = 2w^2 \). Given that \( A = 50 \), we have \( 2w^2 = 50 \). Solving for \( w \) gives \( w^2 = 25 \), so \( w = 5 \). Therefore, the length is \( 2w = 10 \). The perimeter \( P \) of the rectangle is given by \( P = 2(\text{length} + \text{width}) = 2(10 + 5) = 30 \) units.",0.701,95.0,65.0,65.0,85.0,85.0,85.0,95.0,93.57142857142857,1.0,0.8587123755715484
43,"Alex has x more apples than Beth. Together, they have 10 apples. How many apples does Beth have if Alex has twice as many apples as Beth?","Alex has x more apples than Beth, and together they have 10 apples. If Alex has twice as many apples as Beth, determine the value of x and the number of apples each person has.",0.989,90.0,85.0,85.0,85.0,85.0,85.0,95.0,94.28571428571429,1.0,0.958204758085305
44,"A train leaves from Station A towards Station B, which is 150 miles away. A second train leaves from Station B towards Station A at the same time. If the first train travels at a constant speed of 60 mph and the second train travels at 50 mph, at what time will they meet?","Trains A and B depart from stations A and B at the same time. Train A travels at a constant speed of 60 mph, while Train B travels at 50 mph. The distance between the stations is 150 miles. How long will it take for the two trains to meet?",0.991,90.0,90.0,85.0,90.0,90.0,85.0,100.0,95.71428571428571,1.0,0.948565550012636
45,"A rectangle has a length that is twice its width. If the perimeter of the rectangle is 30 units, find the area without using any measurements.","A rectangle has a length that is twice its width. Given that the perimeter of the rectangle is 30 units, find the area. You are not allowed to use any measurements directly, but you can use the relationship between the perimeter and the dimensions of the rectangle to solve the problem.",0.987,90.0,85.0,85.0,85.0,85.0,85.0,95.0,93.57142857142857,1.0,0.958204758085305
